sku,supplier,ai_major_category_he,ai_major_category_slug,ai_subcategory_he,ai_subcategory_slug,ai_confidence
1883,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,מחברות ומוצרי נייר,notebooks-paper,0.9
1808,Comfort,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.7
1781,Comfort,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
KR202,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,ציוד משרדי,office-supplies,0.9
KR4995,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,מטבח ואירוח,kitchen-hosting,0.9
KR5100,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR8901,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.9
KR9463,Kraus,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.8
1769,Comfort,גאדג'טים וטכנולוגיה,gadgets-tech,מטענים וסוללות,chargers-batteries,0.95
1958,Comfort,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.95
1511,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
KR6190,Kraus,בקבוקים ושתייה,drinkware,בקבוקים,bottles,0.95
KR9369,Kraus,בקבוקים ושתייה,drinkware,ספלים וכוסות,cups-mugs,0.95
KR4991.G,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.95
KR8940,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,משחקים ורוגע,games-leisure,0.9
KR2927,Kraus,ביגוד וטקסטיל,apparel-textiles,כובעים,hats-caps,0.9
2027,Comfort,"פנאי, טיולים ובית",leisure-home-outdoors,עיצוב הבית,home-decor,0.85
KR9665,Kraus,"פנאי, טיולים ובית",leisure-home-outdoors,קמפינג וחוץ,camping-outdoors,0.85
KR9880,Kraus,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,UNCLASSIFIED,0.3
1611,Comfort,תיקים וארנקים,bags-travel,תיקי מחשב,laptop-bags,0.9
KR1185,Kraus,יודאיקה ומתנות,judaica-gifts,מתנות כלליות,general-gifts,0.85
1555,Comfort,תיקים וארנקים,bags-travel,נסיעות ומזוודות,travel-luggage,0.9
KR5133,Kraus,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
569,Comfort,תיקים וארנקים,bags-travel,תיקי צד וכנסים,tote-business-bags,0.9
1693,Comfort,כלי כתיבה ומוצרי נייר,writing-instruments-paper,עטים,pens,0.95
